address;area;price;sqrm;year;rooms;cost
Nordborggade 3, 4. tv.;2100 København Ø;9.795.000;119;1894;5;4433
Kongelundsvej 63C, 2. 1.;2300 København S;1.795.000;46;1969;2;1818
Dunkerquegade 30, 3. tv.;2150 Nordhavn;4.799.000;66;2023;2;3896
Knarreborgvej 9B, 2. tv.;2770 Kastrup;3.995.000;83;2006;3;2777
Breslaugade 14, 4. th.;2300 København S;4.650.000;103;1976;4;3876
Johan Kellers Vej 46, st. th.;2450 København SV;2.845.000;59;1936;2;2975
Lyongade 17A, 2. 5.;2300 København S;4.895.000;112;1971;3;3394
Wildersgade 6C, 3. tv.;1408 København K;5.245.000;76;1995;2;3389
Holsteinsgade 66, 4. 3.;2100 København Ø;3.135.000;56;1978;2;2596
Kongelundsvej 63A, 2. 3.;2300 København S;2.245.000;62;1969;2;2950
Ryesgade 100, st. tv.;2100 København Ø;2.895.000;42;1885;2;1316
Bryggervangen 14, 4. th.;2100 København Ø;2.595.000;58;1934;2;2186
Store Kongensgade 90, st.;1264 København K;1.000.000;24;1200;1;869
Rådmandsgade 40C, 6. 147.;2200 København N;2.295.000;48;1967;2;2041
Tuborgvej 60, 2. th.;2900 Hellerup;4.875.000;114;1932;4;6121
Tøndebindervej 4, st. th.;2400 København NV;1.495.000;38;1935;1;1791
Knivholtvej 16, 3. th.;2720 Vanløse;2.295.000;62;1940;2;3438
Sandbjerggade 48, 1. th.;2200 København N;2.695.000;52;1935;2;2141
Strandlodsvej 23E, 1. mf.;2300 København S;5.495.000;101;2021;3;3600
Nordre Fasanvej 162, 3. th.;2000 Frederiksberg;4.695.000;90;1913;4;2632
Svenskelejren 2, st. tv.;2700 Brønshøj;1.895.000;55;1937;2;2825
Carl Th. Zahles Gade 8, 2. tv.;2300 København S;5.795.000;113;2005;3;5351
Rasmus Rasks Vej 8, 2. tv.;2500 Valby;3.995.000;80;1932;3;2493
Krogerupgade 49, st. tv.;2200 København N;2.495.000;52;1935;2;2132
Lyneborggade 23, 1. tv.;2300 København S;4.495.000;96;2006;3;3665
Himmerlandsvej 23, 1. tv.;2720 Vanløse;2.195.000;56;1934;2;2727
Strandvejen 10, 1. th.;2100 København Ø;8.495.000;167;1929;5;5845
Ålborggade 9, 2. th.;2100 København Ø;2.995.000;53;1893;2;2256
Frederik VI's Alle 12, 4. tv.;2000 Frederiksberg;12.995.000;163;1905;6;6933
Olivia Hansens Gade 4, 12. 3.;1799 København V;6.450.000;101;2025;4;5468
Kastrupvej 60, 4. tv.;2300 København S;2.795.000;70;1935;3;2444
Frederiksgårds Allé 8A, 1. th.;2720 Vanløse;2.295.000;64;1934;2;2988
Østerbrogade 86, 4. th.;2100 København Ø;8.350.000;100;1891;4;3838
Emdrupvej 130A;2400 København NV;4.295.000;132;1890;6;4098
Ørnevej 48, 1. tv.;2400 København NV;2.695.000;65;1925;2;2624
Øresund Parkvej 12, 1. th.;2300 København S;4.595.000;77;2005;2;2898
Bredgade 22, 1. tv.;1260 København K;7.195.000;99;1806;3;4260
Kenny Drews Vej 85, 1. th.;2450 København SV;5.195.000;97;2008;4;3700
Schleppegrellsgade 6, 2. tv.;2200 København N;5.850.000;94;1892;4;3254
Ny Carlsberg Vej 46, 1. tv.;1799 København V;4.995.000;86;2018;4;3241
Carl Th. Zahles Gade 6, 4. th.;2300 København S;6.000.000;118;2005;3;5392
Roskildevej 157, 2. tv.;2500 Valby;2.295.000;63;1930;2;2752
Richard Mortensens Vej 75, 7.;2300 København S;4.250.000;106;2010;4;4330
Trekronergade 68, 1.;2500 Valby;4.000.000;75;1914;3;3239
Andrei Sakharovs Vej 25, 3. 4.;2450 København SV;7.498.000;125;2020;4;5421
Jens Otto Krags Gade 17, 3. 4.;2300 København S;3.695.000;79;2006;2;3983
Julius Valentiners Vej 35, st. th.;2000 Frederiksberg;4.795.000;93;1932;4;3416
Dronningens Tværgade 12, 1.;1302 København K;10.995.000;154;1814;5;5257
